FIPS,county-state,sq_mi,land_sq_mi,water_sq_mi
34013,"Essex, NJ",129.56,126.27,3.29
36031,"Essex, NY",1916.5,1796.8,119.7
51057,"Essex, VA",285.91,257.77,28.14
50009,"Essex, VT",673.75,665.2,8.56
21065,"Estill, KY",255.7,253.93,1.76
1055,"Etowah, AL",548.75,534.82,13.93
32011,"Eureka, NV",4179.96,4175.68,4.28
22039,"Evangeline, LA",679.61,664.27,15.34
13109,"Evans, GA",186.88,184.92,1.96
2090,"Fairbanks North Star, AK",7444.02,7366.24,77.78
51059,"Fairfax, VA",406.61,395.04,11.57
9001,"Fairfield, CT",836.96,625.8,211.15
39045,"Fairfield, OH",508.6,505.11,3.49
45039,"Fairfield, SC",709.93,686.59,23.34
46047,"Fall River, SD",1749.14,1739.86,9.28
30025,"Fallon, MT",1623.02,1620.33,2.69
51610,"Falls Church, VA",1.99,1.99,0
48145,"Falls, TX",773.81,769.09,4.72
13111,"Fannin, GA",391.43,385.74,5.69
48147,"Fannin, TX",899.16,891.45,7.71
27043,"Faribault, MN",721.61,713.63,7.98
46049,"Faulk, SD",1005.69,1000.14,5.55
5045,"Faulkner, AR",664.01,647.38,16.63
51061,"Fauquier, VA",651.42,649.7,1.72
1057,"Fayette, AL",629.34,627.66,1.68
13113,"Fayette, GA",199.25,197.05,2.2
19065,"Fayette, IA",731.45,730.92,0.52
17051,"Fayette, IL",725.36,716.49,8.87
18041,"Fayette, IN",215.12,214.96,0.16
21067,"Fayette, KY",285.52,284.52,1
39047,"Fayette, OH",407.08,406.58,0.5
42051,"Fayette, PA",798,790.14,7.86
47047,"Fayette, TN",706.23,704.5,1.73
48149,"Fayette, TX",959.84,950.03,9.81
54019,"Fayette, WV",668.36,663.93,4.43
47049,"Fentress, TN",498.97,498.64,0.33
30027,"Fergus, MT",4350.36,4339.17,11.2
53019,"Ferry, WA",2257.46,2203.98,53.48
27045,"Fillmore, MN",862.15,861.25,0.9
31059,"Fillmore, NE",576.62,576.46,0.16
20055,"Finney, KS",1302.62,1301.77,0.84
48151,"Fisher, TX",901.74,901.16,0.58
12035,"Flagler, FL",570.76,485,85.77
30029,"Flathead, MT",5256.45,5098.34,158.11
