county-state,POPESTIMATE2019
"Kentucky, KY",4467673
"Adair County, KY",19202
"Allen County, KY",21315
"Anderson County, KY",22747
"Ballard County, KY",7888
"Barren County, KY",44249
"Bath County, KY",12500
"Bell County, KY",26032
"Boone County, KY",133581
"Bourbon County, KY",19788
"Boyd County, KY",46718
"Boyle County, KY",30060
"Bracken County, KY",8303
"Breathitt County, KY",12630
"Breckinridge County, KY",20477
"Bullitt County, KY",81676
"Butler County, KY",12879
"Caldwell County, KY",12747
"Calloway County, KY",39001
"Campbell County, KY",93584
"Carlisle County, KY",4760
"Carroll County, KY",10631
"Carter County, KY",26797
"Casey County, KY",16159
"Christian County, KY",70461
"Clark County, KY",36263
"Clay County, KY",19901
"Clinton County, KY",10218
"Crittenden County, KY",8806
"Cumberland County, KY",6614
"Daviess County, KY",101511
"Edmonson County, KY",12150
"Elliott County, KY",7517
"Estill County, KY",14106
"Fayette County, KY",323152
"Fleming County, KY",14581
"Floyd County, KY",35589
"Franklin County, KY",50991
"Fulton County, KY",5969
"Gallatin County, KY",8869
"Garrard County, KY",17666
"Grant County, KY",25069
"Graves County, KY",37266
"Grayson County, KY",26427
